threads,images,background,foreground,composing,total,speedup
1,100,FullHD,HD,0.3958,3.8103,1.0
25,100,FullHD,HD,0.1198,1.0371,3.3038397328881466
50,100,FullHD,HD,0.1126,1.0616,3.515097690941385
100,100,FullHD,HD,0.1195,1.1203,3.312133891213389
200,100,FullHD,HD,0.1409,1.0552,2.8090844570617457
400,100,FullHD,HD,0.1965,1.1173,2.0142493638676844
1,250,FullHD,HD,1.0048,8.0329,1.0
25,250,FullHD,HD,0.291,1.8731,3.4529209621993124
50,250,FullHD,HD,0.2748,1.7715,3.6564774381368266
100,250,FullHD,HD,0.2563,1.8439,3.9204057744830276
200,250,FullHD,HD,0.3039,1.8748,3.306350773280684
400,250,FullHD,HD,0.4875,2.0789,2.061128205128205
1,400,FullHD,HD,1.6697,12.6122,1.0
25,400,FullHD,HD,0.4718,2.7268,3.5389995760915642
50,400,FullHD,HD,0.4683,2.5642,3.565449498184924
100,400,FullHD,HD,0.4102,2.6031,4.070453437347635
200,400,FullHD,HD,0.4896,2.6928,3.4103349673202614
400,400,FullHD,HD,0.7489,3.0546,2.229536653758846
1,100,2K,FullHD,1.0272,3.9888,1.0
25,100,2K,FullHD,0.2661,1.2375,3.860202931228861
50,100,2K,FullHD,0.2511,1.2929,4.090800477897252
100,100,2K,FullHD,0.225,1.2359,4.565333333333332
200,100,2K,FullHD,0.2535,1.2786,4.052071005917159
400,100,2K,FullHD,0.2866,1.2452,3.5840893230983943
1,250,2K,FullHD,2.689,8.4912,1.0
25,250,2K,FullHD,0.6826,2.2354,3.9393495458540877
50,250,2K,FullHD,0.6308,2.1458,4.26284083703234
100,250,2K,FullHD,0.5967,2.0986,4.506452153510977
200,250,2K,FullHD,0.6523,2.2322,4.1223363483059945
400,250,2K,FullHD,0.7096,2.3117,3.78945885005637
1,400,2K,FullHD,4.2575,13.4759,1.0
25,400,2K,FullHD,1.1129,3.2071,3.8255907988139097
50,400,2K,FullHD,1.0017,3.0814,4.2502745332934015
100,400,2K,FullHD,0.8986,3.0105,4.737925662141109
200,400,2K,FullHD,0.9901,3.1195,4.3000706999293
400,400,2K,FullHD,1.1766,3.3475,3.6184769675335713
1,100,4K,2K,2.0763,6.7462,1.0
25,100,4K,2K,0.4922,2.8021,4.218407151564404
50,100,4K,2K,0.4668,2.6908,4.447943444730077
100,100,4K,2K,0.4276,2.7077,4.855706267539756
200,100,4K,2K,0.4343,2.6752,4.780796684319594
400,100,4K,2K,0.4688,2.7333,4.428967576791808
1,250,4K,2K,5.2968,14.9841,1.0
25,250,4K,2K,1.2671,4.4401,4.1802541235892985
50,250,4K,2K,1.2043,4.3305,4.398239641285395
100,250,4K,2K,1.0653,4.3011,4.972120529428331
200,250,4K,2K,1.1221,4.4707,4.720434898850369
400,250,4K,2K,1.253,4.576,4.227294493216282
1,400,4K,2K,8.6662,24.4429,1.0
25,400,4K,2K,2.0113,6.2495,4.308755531248447
50,400,4K,2K,1.9405,6.0964,4.4659623808296836
100,400,4K,2K,1.7038,5.7832,5.086395116797746
200,400,4K,2K,1.7906,5.9233,4.839830224505753
400,400,4K,2K,1.9588,6.5234,4.424239330202164
